height,operation,latency,throughput
3375,LOAD,220610326,2266.4396951210706
3376,LOAD,222740689,2244.762742922107
3377,LOAD,219175624,2281.275585646331
3378,LOAD,221618155,2256.132851570757
3379,LOAD,223023467,2241.9165423520208
3380,LOAD,217518799,2298.6518972091235
3381,LOAD,210982943,2369.8598232180316
3382,LOAD,223435954,2237.7777213062136
3383,LOAD,234106895,2135.7764793728097
3384,LOAD,237604897,2104.3337334920334
3385,LOAD,229878198,2175.0649011090645
3386,LOAD,233131037,2144.716578427951
3387,LOAD,225592060,2216.3900626644395
3388,LOAD,237202614,2107.9025714278177
3389,LOAD,221896687,2253.3008796116005
3390,LOAD,236053859,2118.1606694258703
3391,LOAD,231118565,2163.3917638766925
3392,LOAD,223376492,2238.373409499152
3393,LOAD,230922463,2165.228940936768
3394,LOAD,219977097,2272.9638986007712
3395,LOAD,224523306,2226.9403070343174
3396,LOAD,232334439,2152.0701027022515
3397,LOAD,223174621,2240.3981140848446
3398,LOAD,214548678,2330.4734602000203
3399,LOAD,234943210,2128.1738680594344
3400,LOAD,214120033,2335.138814405096
3401,LOAD,231961969,2155.5257620700745
3402,LOAD,249523445,2003.8197212290013
3403,LOAD,221743206,2254.8605164480214
3404,LOAD,229091044,2182.538397267071
3405,LOAD,215124794,2324.2323244246777
3406,LOAD,220360997,2269.0040742554816
3407,LOAD,214493747,2331.07028523307
3408,LOAD,231934281,2155.7830858130023
3409,LOAD,258869078,1931.4782741258884
3410,LOAD,224197975,2230.1717934785092
3411,LOAD,213397969,2343.0401064407506
3412,LOAD,238288455,2098.297208733843
3413,LOAD,216970238,2304.463527389411
3414,LOAD,216442301,2310.0844783571215
3415,LOAD,218701862,2286.2173894065886
3416,LOAD,211672214,2362.142817668076
3417,LOAD,223396719,2238.1707405469997
3418,LOAD,222074791,2251.4937321273896
3419,LOAD,223289407,2239.246396493856
3420,LOAD,211398671,2365.199353594801
3421,LOAD,221101257,2261.4073152917445
3422,LOAD,216715687,2307.1703157326124
3423,LOAD,216235540,2312.293344563063
3424,LOAD,216619960,2308.1898824097284
3425,LOAD,216648595,2307.8848030378413
3426,LOAD,218686990,2286.372865619486
3427,LOAD,213321822,2343.87647410962
3428,LOAD,218969139,2283.4267983307
3429,LOAD,214623979,2329.655811664921
3430,LOAD,219513850,2277.760605993654
3431,LOAD,210839308,2371.474298331505
3432,LOAD,214033297,2336.0851185691918
3433,LOAD,212929469,2348.195401736525
3434,LOAD,220988743,2262.558686077508
3435,LOAD,211091500,2368.6410869220217
3436,LOAD,219741173,2275.4042548048105
3437,LOAD,213131534,2345.969132845448
3438,LOAD,216414630,2310.3798481646086
3439,LOAD,219900290,2273.7578017746137
3440,LOAD,234601949,2131.2695914559517
3441,LOAD,235637630,2121.902176659984
3442,LOAD,220413074,2268.4679766319127
3443,LOAD,212061837,2357.8028327652373
3444,LOAD,209512877,2386.48815843429
3445,LOAD,211308657,2366.2068894792133
3446,LOAD,199533566,2505.8440543281827
3447,LOAD,209832998,2382.847334621793
3448,LOAD,209083567,2391.3883198673384
3449,LOAD,209882831,2382.281569281863
3450,LOAD,213351856,2343.5465215732643
3451,LOAD,207693889,2407.389078260266
3452,LOAD,213079860,2346.53805385455
3453,LOAD,198066394,2524.4060332617555
3454,LOAD,205935282,2427.947242182619
3455,LOAD,203331262,2459.041443415622
3456,LOAD,202615798,2467.7246539285156
3457,LOAD,210989014,2369.791632847765
3458,LOAD,212015836,2358.314404401377
3459,LOAD,211387615,2365.3230583068926
3460,LOAD,220165064,2271.0233445575177
3461,LOAD,209345944,2388.3911502961814
3462,LOAD,218549910,2287.8069361822204
3463,LOAD,201558154,2480.6736422084914
3464,LOAD,212596447,2351.8737356885367
3465,LOAD,206313541,2423.495799531646
3466,LOAD,208665226,2396.182677797977
3467,LOAD,214405045,2332.0346776355004
3468,LOAD,207867602,2405.377245849019
3469,LOAD,210360892,2376.867654658928
3470,LOAD,211704328,2361.7844978587304
3471,LOAD,206254331,2424.191519158936
3472,LOAD,203980254,2451.217655606998
3473,LOAD,207773932,2406.461653716983
3474,LOAD,208697200,2395.8155643678974
3475,LOAD,215285788,2322.494227997995
3476,LOAD,209075237,2391.4835978399487
3477,LOAD,201052305,2486.9150343737665
3478,LOAD,212253422,2355.674623705242
3479,LOAD,199654526,2504.325897425436
3480,LOAD,207781611,2406.372717939895
3481,LOAD,207343665,2411.4553970095976
3482,LOAD,211430341,2364.8450720703327
3483,LOAD,225045298,2221.7749246198423
3484,LOAD,220048418,2272.227196834471
3485,LOAD,212104454,2357.3290922028445
3486,LOAD,210296907,2377.590841124449
3487,LOAD,206310265,2423.534282213248
3488,LOAD,206712317,2418.8205485597646
3489,LOAD,206734418,2418.561963881602
3490,LOAD,211378332,2365.4269350559543
3491,LOAD,207403211,2410.7630619084293
3492,LOAD,207421604,2410.5492887809314
3493,LOAD,207905360,2404.9404017289403
3494,LOAD,211490528,2364.1720729923186
3495,LOAD,206588093,2420.275015559585
3496,LOAD,212847274,2349.10220179752
3497,LOAD,214216726,2334.0847810361925
3498,LOAD,200573762,2492.848491319617
3499,LOAD,207366317,2411.191977721242
3500,LOAD,198584953,2517.8141266322427
3501,LOAD,208448763,2398.670986596356
3502,LOAD,208397802,2399.2575507106358
3503,LOAD,202368441,2470.7409788268324
3504,LOAD,216067150,2314.095409690922
3505,LOAD,199324157,2508.4766820310697
3506,LOAD,214602368,2329.89041388397
3507,LOAD,208397715,2399.2585523310563
3508,LOAD,218276863,2290.6688007514567
3509,LOAD,220100319,2271.691391778492
3510,LOAD,206326084,2423.3484700848585
3511,LOAD,211932616,2359.2404483885575
3512,LOAD,206988151,2415.597209716608
3513,LOAD,208370247,2399.5748298940202
3514,LOAD,212084417,2357.551804477931
