height,operation,latency,throughput
56,LOAD,98636012,5069.142495339329
57,LOAD,88121542,5673.981510673066
58,LOAD,97288636,5139.346387793945
59,LOAD,79910040,6257.036037023633
60,LOAD,81707756,6119.37011218372
61,LOAD,91283212,5477.4584400031845
62,LOAD,84185481,5939.266415784926
63,LOAD,82932969,6028.965392520796
64,LOAD,82118475,6088.763825679909
65,LOAD,89024547,5616.42846663404
66,LOAD,91097731,5488.610907334234
67,LOAD,90944126,5497.88119355834
68,LOAD,86334350,5791.437591178946
69,LOAD,85609622,5840.464988853707
70,LOAD,90681766,5513.7876339991
71,LOAD,94343982,5299.755102556514
72,LOAD,83260509,6005.24793813115
73,LOAD,86657869,5769.816472177501
74,LOAD,89318834,5597.923501777911
75,LOAD,91012634,5493.742769822485
76,LOAD,113419722,4408.404386672717
77,LOAD,102981704,4855.231371972637
78,LOAD,113785513,4394.2325065581945
79,LOAD,94919772,5267.606416079466
80,LOAD,103370150,4836.98630600807
81,LOAD,94104898,5313.2197221020315
82,LOAD,112606485,4440.241607754651
83,LOAD,94225586,5306.414332090225
84,LOAD,110508373,4524.544036133805
85,LOAD,114778031,4356.234338956381
86,LOAD,111630431,4479.065390332497
87,LOAD,116104285,4306.473270990817
88,LOAD,126453066,3954.0361955320245
89,LOAD,112074000,4461.3380445063085
90,LOAD,113001428,4424.7228450953735
91,LOAD,111843437,4470.53500331897
92,LOAD,116818830,4280.131893120313
93,LOAD,97119278,5148.308454270016
94,LOAD,94969556,5264.845083618165
95,LOAD,96763666,5167.228781927299
96,LOAD,132325368,3778.5649687367577
97,LOAD,103077969,4850.6970485613665
98,LOAD,117400304,4258.932753700536
99,LOAD,114013297,4385.453391458366
100,LOAD,122889300,4068.702482640881
101,LOAD,111342273,4490.657380418307
102,LOAD,110117748,4540.594128387006
103,LOAD,112206235,4456.080359527257
104,LOAD,97358918,5135.636367692582
105,LOAD,109549093,4564.163758069636
106,LOAD,100283318,4985.874121157419
107,LOAD,120395905,4152.965169371832
108,LOAD,123108032,4061.4734219778607
109,LOAD,103996012,4807.8766712708175
110,LOAD,122643717,4076.8496930013953
111,LOAD,106511009,4694.350421560648
112,LOAD,104989954,4762.360406406122
113,LOAD,100743126,4963.11778135612
114,LOAD,105691854,4730.733553032384
115,LOAD,105913884,4720.816394572028
116,LOAD,101495838,4926.310377377247
117,LOAD,96900411,5159.936834530041
118,LOAD,97799073,5112.522896817232
119,LOAD,106126363,4711.364696442108
120,LOAD,104604756,4779.897388222004
121,LOAD,106905812,4677.014192642772
122,LOAD,105930032,4720.0967521656175
123,LOAD,108420875,4611.658040944606
124,LOAD,130984442,3817.247242233547
125,LOAD,110010572,4545.017727932548
126,LOAD,107700569,4642.501006656706
127,LOAD,113880860,4390.553425746873
128,LOAD,106563732,4692.027865540595
129,LOAD,106590124,4690.866106882473
130,LOAD,106218215,4707.290552755006
131,LOAD,101276532,4936.977897307937
132,LOAD,120568684,4147.01382989301
133,LOAD,104126406,4801.8559288409515
134,LOAD,118895821,4205.362272573062
135,LOAD,113389106,4409.594692456611
136,LOAD,99119429,5044.419696969804
137,LOAD,107120385,4667.645658667116
138,LOAD,99307727,5034.854941348119
139,LOAD,113587707,4401.884791987218
140,LOAD,104579262,4781.062616410508
141,LOAD,101461166,4927.993829678639
142,LOAD,101054371,4947.831499539985
143,LOAD,100890251,4955.880226722798
144,LOAD,109160138,4580.426602245593
145,LOAD,107419149,4654.663573996476
146,LOAD,102474165,4879.278596707765
147,LOAD,102471271,4879.416397596941
